_id_,fecha_inicio,comp_interno1,comp_interno2,comp_interno3,comp_interno4,categoria1,categoria2,categoria3
78213,2020-03-25,0.0,b'0',11.0,58.0,2.0,9.0,156.0
76457,2020-02-13,0.0,b'1',28.0,45.0,1.0,4.0,173.0
40666,2018-01-24,0.0,b'1',25.0,45.0,1.0,9.0,170.0
8329,2016-10-07,0.0,b'1',14.0,59.0,3.0,3.0,159.0
68389,2019-07-30,2026.3424518743668,b'1',1.0,67.0,2.0,9.0,146.0
45732,2018-07-27,3546.099290780142,b'1',15.0,70.0,1.0,9.0,160.0
64416,2019-05-20,557.2441742654509,b'1',24.0,71.0,3.0,9.0,169.0
11459,2016-08-04,0.0,b'0',30.0,45.0,1.0,6.0,175.0
35742,2017-10-24,506.5856129685917,b'0',9.0,50.0,3.0,3.0,154.0
53185,2018-09-07,759.8784194528876,b'1',23.0,58.0,1.0,9.0,168.0
98701,2021-04-20,0.0,b'1',19.0,50.0,3.0,9.0,164.0
82374,2020-06-24,0.0,b'1',22.0,61.0,1.0,9.0,167.0
86932,2020-09-21,2532.9280648429585,b'1',26.0,59.0,3.0,9.0,171.0
81452,2020-06-03,0.0,b'0',8.0,52.0,1.0,9.0,153.0
20582,2016-12-22,0.0,b'1',1.0,55.0,1.0,9.0,146.0
27039,2017-04-27,0.0,b'0',30.0,47.0,1.0,13.0,175.0
37304,2017-11-28,0.0,b'1',1.0,49.0,1.0,9.0,146.0
12346,2016-07-22,992.9078014184397,b'1',25.0,75.0,2.0,9.0,170.0
59588,2019-01-29,709.2198581560284,b'0',22.0,45.0,1.0,9.0,167.0
54480,2019-06-06,0.0,b'1',1.0,54.0,1.0,9.0,146.0
68365,2019-11-19,0.0,b'1',14.0,52.0,1.0,9.0,159.0
48304,2018-07-23,119.55420466058764,b'1',14.0,48.0,3.0,6.0,159.0
5561,2016-09-23,0.0,b'1',23.0,64.0,1.0,8.0,168.0
12508,2016-08-04,1418.4397163120568,b'1',14.0,47.0,3.0,11.0,159.0
45787,2018-04-20,0.0,b'1',5.0,75.0,2.0,9.0,150.0
7824,2016-06-20,2178.318135764944,b'1',15.0,50.0,1.0,9.0,160.0
6416,2016-03-30,0.0,b'0',19.0,47.0,1.0,9.0,164.0
43661,2018-03-28,0.0,b'1',2.0,47.0,1.0,3.0,147.0
26236,2017-03-29,0.0,b'1',14.0,51.0,3.0,9.0,159.0
67961,2019-08-29,1215.80547112462,b'1',2.0,70.0,3.0,11.0,147.0
6534,2016-05-19,506.5856129685917,b'1',31.0,47.0,2.0,8.0,176.0
51297,2018-09-12,3039.51367781155,b'1',8.0,75.0,1.0,9.0,153.0
61056,2019-05-09,0.0,b'1',1.0,51.0,3.0,9.0,146.0
69426,2019-09-04,0.0,b'1',6.0,60.0,3.0,9.0,151.0
59887,2019-03-07,5065.856129685917,b'1',25.0,45.0,1.0,9.0,170.0
66186,2019-06-10,2228.9766970618034,b'1',22.0,75.0,3.0,9.0,167.0
5881,2016-06-16,2026.3424518743668,b'1',24.0,59.0,2.0,9.0,169.0
48577,2018-08-02,0.0,b'1',15.0,63.0,2.0,9.0,160.0
44899,2018-06-22,0.0,b'1',15.0,68.0,1.0,9.0,160.0
14913,2016-09-08,1519.756838905775,b'1',9.0,54.0,2.0,4.0,154.0
49959,2018-10-10,1215.80547112462,b'1',31.0,50.0,1.0,1.0,176.0
6913,2016-05-17,0.0,b'0',19.0,44.0,1.0,3.0,164.0
77975,2020-03-30,0.0,b'1',9.0,63.0,3.0,9.0,154.0
2723,2016-03-01,2026.3424518743668,b'1',5.0,47.0,1.0,9.0,150.0
66308,2019-12-17,0.0,b'1',1.0,42.0,1.0,9.0,146.0
72411,2019-10-19,1266.4640324214793,b'1',8.0,75.0,1.0,11.0,153.0
82048,2020-07-06,0.0,b'1',1.0,51.0,2.0,9.0,146.0
89041,2020-10-29,759.8784194528876,b'0',25.0,47.0,2.0,9.0,170.0
76454,2020-02-13,0.0,b'0',14.0,46.0,3.0,8.0,159.0
25522,2017-05-18,3039.51367781155,b'1',24.0,69.0,2.0,9.0,169.0
40081,2017-12-19,0.0,b'0',11.0,69.0,2.0,9.0,156.0
67655,2019-09-10,0.0,b'0',11.0,52.0,2.0,6.0,156.0
91852,2020-12-30,0.0,b'1',25.0,45.0,2.0,9.0,170.0
86255,2020-10-01,0.0,b'1',1.0,51.0,1.0,9.0,146.0
32609,2018-06-05,81.05369807497468,b'1',10.0,44.0,1.0,9.0,155.0
98596,2021-04-29,0.0,b'1',3.0,64.0,1.0,9.0,148.0
48587,2018-07-10,0.0,b'1',15.0,55.0,3.0,9.0,160.0
96431,2021-03-08,11144.883485309017,b'1',1.0,75.0,1.0,9.0,146.0
98856,2021-04-29,0.0,b'1',20.0,54.0,1.0,9.0,165.0
91129,2020-12-16,1519.756838905775,b'1',30.0,61.0,2.0,5.0,175.0
11943,2016-07-07,0.0,b'0',26.0,57.0,2.0,6.0,171.0
15116,2016-12-14,0.0,b'1',9.0,43.0,1.0,9.0,154.0
76217,2020-01-15,1013.1712259371834,b'0',30.0,71.0,1.0,9.0,175.0
93512,2021-01-11,3039.51367781155,b'0',19.0,51.0,3.0,9.0,164.0
45737,2018-05-25,0.0,b'0',1.0,49.0,1.0,9.0,146.0
57970,2019-01-08,0.0,b'0',26.0,37.0,1.0,8.0,171.0
25905,2017-06-06,1013.1712259371834,b'1',30.0,52.0,1.0,9.0,175.0
10599,2016-09-21,1013.1712259371834,b'1',8.0,46.0,2.0,9.0,153.0
90370,2020-12-15,2127.659574468085,b'0',17.0,47.0,1.0,9.0,162.0
68236,2019-07-17,0.0,b'1',2.0,57.0,1.0,3.0,147.0
28013,2017-07-24,0.0,b'0',15.0,58.0,2.0,9.0,160.0
8178,2016-08-12,0.0,b'1',1.0,70.0,1.0,8.0,146.0
15216,2016-10-10,0.0,b'1',30.0,45.0,3.0,5.0,175.0
41776,2018-02-27,0.0,b'1',15.0,48.0,1.0,9.0,160.0
95690,2021-03-11,7598.784194528876,b'1',25.0,59.0,2.0,9.0,170.0
7692,2016-04-18,0.0,b'1',24.0,46.0,1.0,6.0,169.0
21194,2016-12-23,0.0,b'1',15.0,50.0,3.0,11.0,160.0
87669,2020-10-29,1519.756838905775,b'1',19.0,72.0,3.0,9.0,164.0
12160,2016-08-31,1215.80547112462,b'1',7.0,61.0,3.0,6.0,152.0
45360,2018-05-30,0.0,b'1',19.0,47.0,1.0,9.0,164.0
96667,2021-03-23,0.0,b'0',1.0,64.0,2.0,9.0,146.0
94923,2021-01-08,7700.101317122594,b'1',1.0,57.0,3.0,9.0,146.0
55146,2018-11-01,0.0,b'1',6.0,62.0,2.0,6.0,151.0
98222,2021-04-15,0.0,b'1',31.0,75.0,2.0,9.0,176.0
76882,2020-02-06,0.0,b'1',19.0,52.0,4.0,5.0,164.0
