_id_,_id2_,comp_mixto1
78213,1798899,0.33522
76457,1758511,0.33334
40666,935318,0.29186
8329,191567,0.29112
68389,1572947,0.27318000000000003
45732,1051836,0.32988
64416,1481568,0.34022
11459,263557,0.38
35742,822066,0.35514
53185,1223255,0.37
98701,2270123,0.36508
82374,1894602,0.31664
86932,1999436,0.33008000000000004
81452,1873396,0.33953999999999995
20582,473386,0.38
27039,621897,0.37
37304,857992,0.36394
12346,283958,0.37170000000000003
59588,1370524,0.31112
54480,1253040,0.325
68365,1572395,0.325
48304,1110992,0.36816
5561,127903,0.38
12508,287684,0.36
45787,1053101,0.38
7824,179952,0.38
6416,147568,0.35992
43661,1004203,0.36422000000000004
26236,603428,0.31551999999999997
67961,1563103,0.28787999999999997
6534,150282,0.38
51297,1179831,0.37
61056,1404288,0.28065999999999997
69426,1596798,0.34926
59887,1377401,0.34344
66186,1522278,0.38
5881,135263,0.29824
48577,1117271,0.38
44899,1032677,0.24052
14913,342999,0.26
49959,1149057,0.38
6913,158999,0.33038
77975,1793425,0.26512
2723,62629,0.34
66308,1525084,0.2903
72411,1665453,0.36910000000000004
82048,1887104,0.32926
89041,2047943,0.33
76454,1758442,0.37220000000000003
25522,587006,0.275
40081,921863,0.38
67655,1556065,0.37554
91852,2112596,0.3669
86255,1983865,0.38677999999999996
32609,750007,0.30436
98596,2267708,0.28892
48587,1117501,0.34603999999999996
96431,2217913,0.36
98856,2273688,0.32
91129,2095967,0.25404
11943,274689,0.37
15116,347668,0.36
76217,1752991,0.36998000000000003
93512,2150776,0.38
45737,1051951,0.29825999999999997
57970,1333310,0.33986
25905,595815,0.3058
10599,243777,0.36451999999999996
90370,2078510,0.36994
68236,1569428,0.38
28013,644299,0.31206
8178,188094,0.35372000000000003
15216,349968,0.36
41776,960848,0.27776
95690,2200870,0.376
7692,176916,0.33188
21194,487462,0.36
87669,2016387,0.31442000000000003
12160,279680,0.37334
45360,1043280,0.35648
96667,2223341,0.36504
94923,2183229,0.3573
55146,1268358,0.34453999999999996
98222,2259106,0.2894
76882,1768286,0.31268
92985,2138655,0.34912
31081,714863,0.36482
44490,1023270,0.37
1476,33948,0.21168
8730,200790,0.31244
63627,1463421,0.38
34548,794604,0.38
73574,1692202,0.3525
92312,2123176,0.29578
94588,2175524,0.27972
2484,57132,0.33664
73156,1682588,0.28
65422,1504706,0.3464
91782,2110986,0.29904000000000003
20268,466164,0.2719
12676,291548,0.26
13606,312938,0.28974
21152,486496,0.36989999999999995
59310,1364130,0.37
71362,1641326,0.30228
7596,174708,0.29810000000000003
40061,921403,0.34588
97397,2240131,0.38
31295,719785,0.36
374,8602,0.29031999999999997
71079,1634817,0.37
69583,1600409,0.37
72454,1666442,0.3607
54444,1252212,0.36
36352,836096,0.344
8238,189474,0.34378
21073,484679,0.25851999999999997
44180,1016140,0.26738
65895,1515585,0.34
15649,359927,0.34012
36177,832071,0.37996
22984,528632,0.31112
3645,83835,0.21488
41663,958249,0.36734000000000006
