_id_ comp_interno4
78213 58.0
76457 45.0
40666 45.0
8329 59.0
68389 67.0
45732 70.0
64416 71.0
11459 45.0
35742 50.0
53185 58.0
98701 50.0
82374 61.0
86932 59.0
81452 52.0
20582 55.0
27039 47.0
37304 49.0
12346 75.0
59588 45.0
54480 54.0
68365 52.0
48304 48.0
5561 64.0
12508 47.0
45787 75.0
7824 50.0
6416 47.0
43661 47.0
26236 51.0
67961 70.0
6534 47.0
51297 75.0
61056 51.0
69426 60.0
59887 45.0
66186 75.0
5881 59.0
48577 63.0
44899 68.0
14913 54.0
49959 50.0
6913 44.0
77975 63.0
2723 47.0
66308 42.0
72411 75.0
82048 51.0
89041 47.0
76454 46.0
25522 69.0
40081 69.0
67655 52.0
91852 45.0
86255 51.0
32609 44.0
98596 64.0
48587 55.0
96431 75.0
98856 54.0
91129 61.0
11943 57.0
15116 43.0
76217 71.0
93512 51.0
45737 49.0
57970 37.0
25905 52.0
10599 46.0
90370 47.0
68236 57.0
28013 58.0
8178 70.0
15216 45.0
41776 48.0
95690 59.0
7692 46.0
21194 50.0
87669 72.0
12160 61.0
45360 47.0
96667 64.0
94923 57.0
55146 62.0
98222 75.0
76882 52.0
92985 51.0
31081 75.0
44490 75.0
1476 58.0
8730 44.0
63627 50.0
34548 50.0
73574 68.0
92312 70.0
94588 71.0
2484 68.0
73156 71.0
65422 54.0
91782 39.0
20268 73.0
12676 55.0
13606 43.0
21152 46.0
59310 54.0
71362 50.0
7596 49.0
40061 40.0
97397 64.0
31295 63.0
374 48.0
71079 75.0
69583 43.0
72454 43.0
54444 43.0
36352 57.0
8238 62.0
21073 65.0
44180 72.0
65895 60.0
15649 43.0
36177 43.0
22984 40.0
3645 72.0
41663 51.0
73928 55.0
38943 49.0
67435 54.0
83809 74.0
9164 51.0
47631 59.0
34734 64.0
98330 44.0
37816 39.0
47629 66.0
7657 43.0
87482 47.0
91552 59.0
73294 57.0
45950 47.0
72090 75.0
57619 45.0
31750 70.0
26504 53.0
91269 60.0
70014 30.0
19637 48.0
33101 58.0
48672 41.0
5420 47.0
25963 45.0
64944 47.0
20688 63.0
92545 55.0
53018 58.0
65836 48.0
37235 47.0
23170 44.0
48774 51.0
69601 54.0
20893 52.0
68841 44.0
91465 71.0
85707 57.0
76783 58.0
62998 52.0
2486 56.0
71786 44.0
44547 73.0
98102 61.0
52968 69.0
85577 51.0
2386 50.0
5775 58.0
41691 46.0
72113 46.0
79555 65.0
17970 57.0
17399 55.0
54595 64.0
97435 61.0
95550 58.0
78465 36.0
41270 44.0
85852 55.0
94410 71.0
59388 49.0
45551 36.0
86465 57.0
38903 59.0
11253 64.0
461 45.0
38648 59.0
50261 44.0
51101 47.0
16965 55.0
22010 45.0
